Duration,PID,group,Task,Performance,Topic
19,789,A,F 1,0,Methodology
19,789,A,F 2,0,Methodology
19,789,A,F 3,0,Methodology
19,789,A,F 4,2,Measurement Theory
19,789,A,F 5,1,Measurement Theory
19,789,A,F 6,1.5,Measurement Theory
19,789,A,F 7,0,Distribution
19,789,A,F 8,0,Distribution
19,789,A,F 9,0,Distribution
19,789,A,F 10,1.5,Cross Table
19,789,A,F 11,0,Cross Table
19,789,A,F 12,0,Cross Table
19,789,A,F 13,0,Correlation
19,789,A,F 14,0,Correlation
19,789,A,F 15,0,Correlation
19,789,A,F 19,0,Mean Difference
19,789,A,F 20,0,Mean Difference
19,789,A,F 21,0,Mean Difference
19,789,A,F 25,3,Quali
19,789,A,F 26,3,Quali
19,789,A,F 27,0,Quali
19,789,A,F 28,0,Quali
19,789,A,F 29,0,Quali
19,789,A,F 30,0,Quali
19,789,A,F 31,0,Quali
19,789,A,F 32,3,Quali
19,789,A,F 33,0,Quali
19,789,A,F 34,0,Quali
19,789,A,F 35,0,Quali
19,789,A,F 36,3,Quali
19,789,A,F 37,0,Quali
19,789,A,F 38,3,Quali
19,789,A,F 39,0,Quali
19,789,A,F 40,0,Quali
19,789,A,F 41,0,Quali
19,789,A,F 42,0,Quali
42,325,A,F 1,0,Methodology
42,325,A,F 2,1.5,Methodology
42,325,A,F 3,0,Methodology
42,325,A,F 4,0.5,Measurement Theory
42,325,A,F 5,0,Measurement Theory
42,325,A,F 6,0.75,Measurement Theory
42,325,A,F 7,0,Distribution
42,325,A,F 8,0,Distribution
42,325,A,F 9,3,Distribution
42,325,A,F 10,3,Cross Table
42,325,A,F 11,0,Cross Table
42,325,A,F 12,0,Cross Table
42,325,A,F 13,1.5,Correlation
42,325,A,F 14,0,Correlation
42,325,A,F 15,0,Correlation
42,325,A,F 19,3,Mean Difference
42,325,A,F 20,0,Mean Difference
42,325,A,F 21,0,Mean Difference
42,325,A,F 25,0,Quali
42,325,A,F 26,0,Quali
42,325,A,F 27,3,Quali
42,325,A,F 28,0,Quali
42,325,A,F 29,0,Quali
42,325,A,F 30,0,Quali
42,325,A,F 31,3,Quali
42,325,A,F 32,0,Quali
42,325,A,F 33,0,Quali
42,325,A,F 34,0,Quali
42,325,A,F 35,0,Quali
42,325,A,F 36,0,Quali
42,325,A,F 37,0,Quali
42,325,A,F 38,3,Quali
42,325,A,F 39,3,Quali
42,325,A,F 40,0,Quali
42,325,A,F 41,3,Quali
42,325,A,F 42,3,Quali
42,779,A,F 1,3,Methodology
42,779,A,F 2,3,Methodology
42,779,A,F 3,2,Methodology
42,779,A,F 4,3,Measurement Theory
42,779,A,F 5,3,Measurement Theory
42,779,A,F 6,2.25,Measurement Theory
42,779,A,F 7,3,Distribution
42,779,A,F 8,0,Distribution
42,779,A,F 9,3,Distribution
42,779,A,F 10,3,Cross Table
42,779,A,F 11,3,Cross Table
