PID,group,gender,age,SWS,abi_average,math_average,BF_Gew,BF_Ext,BF_Neu,BF_Ver,BF_Off,procrastination,SELLMO_LZ,SELLMO_AL,SELLMO_VL,SELLMO_AV,nfc,second_try,prior_knowledge,entrance_certificate,study_program,semester,financing_parents,financing_bafoeg,financing_scholarship,financing_job,financing_others
200,A,weiblich,21,24,2.7,5,11,19,16,18,15,31,31,18,14,23,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,4,TRUE,FALSE,FALSE,TRUE,FALSE
283,B,männlich,23,26,2.7,4,17,15,8,13,11,23,33,14,10,22,6,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,FALSE,FALSE
290,B,weiblich,23,20,2.0,NA,15,11,18,21,17,24,38,22,24,23,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
298,B,männlich,20,40,2.3,9,14,19,12,13,12,24,26,28,24,25,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
299,A,weiblich,20,12,1.7,11,16,11,13,17,15,20,32,15,8,10,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
302,B,weiblich,20,4,2.7,8,13,17,14,19,14,21,33,19,16,19,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,5,TRUE,FALSE,FALSE,FALSE,FALSE
304,A,weiblich,21,12,2.4,6,16,16,15,20,16,19,34,13,15,17,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
307,B,männlich,23,5,2.8,2,11,15,10,19,16,33,33,23,21,24,3.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,7,TRUE,FALSE,FALSE,FALSE,FALSE
308,A,weiblich,23,15,2.5,7,17,14,19,19,14,32,36,34,39,19,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
313,B,weiblich,22,30,2.1,10,12,12,12,18,17,30,34,24,23,20,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
316,A,weiblich,23,13,2.6,6,19,14,17,20,16,21,39,20,17,12,5.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
321,A,weiblich,20,10,1.8,1,19,16,20,19,15,28,30,15,22,19,2.75,"Ja, ich habe bereits an der Klausur teilgenommen.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
325,A,männlich,24,13,3.4,NA,15,20,4,15,15,19,19,7,9,20,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Fachhochschulreife,Bachelor Sekundarstufe,3,FALSE,TRUE,FALSE,TRUE,FALSE
326,A,weiblich,21,12,2.1,7,18,17,20,19,17,25,33,25,26,18,6.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,TRUE,FALSE,FALSE,FALSE,TRUE
346,A,männlich,22,31,1.9,13,12,16,5,21,16,35,32,8,8,20,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,5,TRUE,FALSE,FALSE,FALSE,FALSE
351,A,männlich,34,8,3,NA,18,16,11,18,17,12,36,21,20,23,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Meister/Techniker/Betriebswirt,Bachelor Primarstufe,5,FALSE,FALSE,FALSE,TRUE,FALSE
356,A,weiblich,28,8,1.7,13,13,14,17,16,20,24,39,16,15,14,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,6,FALSE,FALSE,FALSE,FALSE,FALSE
357,A,weiblich,21,12,2.6,4,16,18,18,17,19,24,36,26,20,19,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
358,A,männlich,27,9,2.6,4,13,18,4,20,19,28,38,14,10,30,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,TRUE,FALSE,FALSE,TRUE,FALSE
360,A,weiblich,21,18,2.3,9,12,10,15,15,19,26,36,14,17,20,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
366,B,männlich,26,10,2.7,5,14,16,8,16,19,22,35,10,8,19,4.5,"Ja, ich habe bereits an der Klausur teilgenommen.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,7,TRUE,FALSE,FALSE,TRUE,FALSE
379,B,weiblich,24,5,2.4,4,19,21,15,20,19,14,37,18,11,20,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,FALSE,TRUE,FALSE,TRUE,FALSE
388,B,weiblich,20,12,2.1,7,18,18,19,15,9,17,37,21,13,10,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,FALSE,FALSE
389,B,weiblich,23,8,2.3,5,11,6,15,20,12,32,30,23,34,25,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,FALSE,FALSE,FALSE,FALSE,FALSE
391,B,männlich,21,15,2.6,7,11,11,15,19,18,28,31,15,15,24,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,TRUE,FALSE,FALSE,FALSE,FALSE
392,A,weiblich,20,9,1.9,11,15,13,17,18,19,20,37,21,23,17,5.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
395,B,weiblich,20,15,1.4,10,16,11,7,21,16,26,31,15,8,8,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Fachgebundene Hochschulreife,Bachelor Primarstufe,3,FALSE,FALSE,FALSE,FALSE,FALSE
404,A,männlich,21,22,2.1,3,13,17,18,12,18,26,35,17,13,9,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
406,B,weiblich,23,15,2.7,4,20,21,7,19,15,19,38,18,17,19,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,FALSE,TRUE
414,B,weiblich,20,37,2.8,NA,17,17,13,19,16,17,36,18,9,14,4.5,"Ja, ich habe bereits an der Klausur teilgenommen.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
419,A,weiblich,20,5,2.2,2,16,21,15,19,17,26,37,20,21,17,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,5,TRUE,FALSE,FALSE,TRUE,FALSE
445,B,männlich,23,14,2.6,12,12,20,8,19,14,30,35,20,8,24,4.5,"Ja, ich habe bereits an der Klausur teilgenommen.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,7,TRUE,FALSE,FALSE,TRUE,FALSE
531,A,männlich,20,20,2.3,6,16,14,13,19,9,21,34,15,16,20,4.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
