PID,group
647,B
862,B
907,B
565,B
734,B
847,B
831,B
545,B
835,B
567,B
923,B
366,B
755,B
867,B
553,B
414,B
807,B
842,B
578,B
765,B
717,B
631,B
871,B
697,B
828,B
298,B
901,B
714,B
882,B
850,B
776,B
307,B
810,B
536,B
704,B
746,B
866,B
885,B
914,B
699,B
571,B
888,B
823,B
737,B
731,B
859,B
283,B
844,B
724,B
786,B
778,B
302,B
841,B
564,B
775,B
290,B
777,B
917,B
833,B
700,B
913,B
568,B
880,B
672,B
679,B
548,B
822,B
691,B
406,B
391,B
840,B
756,B
551,B
806,B
709,B
676,B
874,B
800,B
740,B
445,B
897,B
645,B
541,B
819,B
813,B
395,B
767,B
654,B
849,B
780,B
826,B
388,B
705,B
575,B
629,B
560,B
540,B
722,B
852,B
648,B
838,B
861,B
848,B
716,B
785,B
696,B
766,B
313,B
912,B
770,B
732,B
706,B
908,B
792,B
887,B
830,B
909,B
622,B
824,B
768,B
628,B
651,B
726,B
856,B
793,B
846,B
845,B
818,B
894,B
851,B
694,B
733,B
656,B
686,B
555,B
675,B
725,B
811,B
761,B
379,B
832,B
904,B
762,B
557,B
634,B
389,B
803,B
879,B
796,B
898,B
906,B
670,B
754,B
688,B
939,B
718,B
735,B
902,B
685,B
678,B
736,B
870,A
702,A
624,A
798,A
671,A
829,A
903,A
744,A
878,A
889,A
326,A
750,A
753,A
419,A
357,A
789,A
884,A
580,A
783,A
742,A
692,A
563,A
729,A
911,A
881,A
404,A
581,A
576,A
308,A
619,A
643,A
392,A
781,A
743,A
351,A
915,A
804,A
791,A
569,A
574,A
772,A
784,A
815,A
554,A
358,A
561,A
441,A
538,A
741,A
325,A
321,A
537,A
304,A
711,A
577,A
615,A
771,A
896,A
713,A
543,A
200,A
816,A
652,A
839,A
749,A
922,A
708,A
808,A
794,A
559,A
797,A
539,A
570,A
812,A
890,A
865,A
752,A
710,A
837,A
857,A
703,A
787,A
558,A
720,A
760,A
769,A
642,A
617,A
928,A
919,A
573,A
552,A
547,A
774,A
868,A
747,A
921,A
674,A
690,A
668,A
627,A
805,A
853,A
895,A
356,A
886,A
346,A
873,A
899,A
715,A
795,A
860,A
875,A
689,A
858,A
748,A
905,A
759,A
572,A
757,A
916,A
817,A
299,A
695,A
876,A
764,A
758,A
556,A
900,A
773,A
827,A
801,A
825,A
727,A
316,A
799,A
809,A
531,A
910,A
892,A
864,A
582,A
667,A
843,A
763,A
680,A
779,A
360,A
549,A
891,A
788,A
821,A
635,A
883,A
834,A
893,A
790,A
855,A
820,A
546,A
738,A
